carat,cut,color,clarity,depth,table,price,x,y,z,es_premium,categoria_precio,precio_por_quilate
0.9,Good,F,SI2,61.3,59.0,3621,6.12,6.15,3.76,False,Medio,4023.333333333333
0.7,Very Good,D,VVS2,62.3,56.0,3622,5.66,5.7,3.54,False,Medio,5174.285714285715
0.7,Very Good,D,VVS2,61.1,57.0,3622,5.7,5.75,3.5,False,Medio,5174.285714285715
0.7,Very Good,F,VVS1,63.1,58.0,3622,5.6,5.66,3.55,False,Medio,5174.285714285715
0.72,Ideal,D,VS1,61.4,56.0,3622,5.8,5.82,3.57,True,Medio,5030.555555555556
0.72,Ideal,D,VS1,62.3,54.0,3622,5.74,5.79,3.59,True,Medio,5030.555555555556
0.8,Ideal,E,SI1,62.3,54.0,3622,5.95,5.97,3.71,True,Medio,4527.5
0.82,Ideal,E,SI1,61.8,58.0,3622,5.99,6.05,3.72,True,Medio,4417.073170731707
0.98,Fair,F,SI1,61.8,66.0,3622,6.38,6.27,3.91,False,Medio,3695.918367346939
0.7,Very Good,E,IF,63.4,58.0,3622,5.64,5.59,3.56,False,Medio,5174.285714285715
1.1,Ideal,F,I1,61.3,56.9,3623,6.62,6.68,4.08,True,Medio,3293.6363636363635
0.92,Premium,H,SI1,62.4,58.0,3624,6.19,6.22,3.87,True,Medio,3939.1304347826085
0.94,Very Good,H,SI2,62.7,61.0,3624,6.21,6.24,3.9,False,Medio,3855.31914893617
0.9,Very Good,F,SI1,63.1,58.0,3624,6.09,6.15,3.86,False,Medio,4026.6666666666665
0.81,Ideal,F,VS2,61.9,55.0,3624,6.0,5.95,3.7,True,Medio,4474.074074074074
0.81,Ideal,F,VS2,61.8,55.0,3624,5.96,5.92,3.67,True,Medio,4474.074074074074
0.75,Ideal,D,VS2,61.7,55.0,3625,5.82,5.85,3.6,True,Medio,4833.333333333333
0.92,Very Good,F,SI2,59.9,60.0,3625,6.26,6.29,3.76,False,Medio,3940.2173913043475
0.61,Ideal,D,VVS1,62.3,54.0,3625,5.4,5.45,3.38,True,Medio,5942.622950819672
0.9,Premium,E,SI1,60.7,61.0,3625,6.19,6.17,3.75,True,Medio,4027.777777777778
0.83,Premium,E,VS2,61.3,59.0,3625,6.08,6.02,3.71,True,Medio,4367.469879518072
0.83,Ideal,E,VS2,61.8,57.0,3625,6.04,6.03,3.73,True,Medio,4367.469879518072
0.9,Good,E,SI1,60.8,65.0,3625,6.31,6.18,3.8,False,Medio,4027.777777777778
0.71,Very Good,F,VVS1,62.7,58.0,3626,5.67,5.72,3.57,False,Medio,5107.042253521127
1.01,Good,G,SI2,63.6,58.0,3626,6.31,6.37,4.03,False,Medio,3590.09900990099
1.01,Good,G,SI2,63.7,58.0,3626,6.31,6.35,4.03,False,Medio,3590.09900990099
0.9,Good,H,SI2,64.5,58.0,3627,6.0,5.96,3.86,False,Medio,4030.0
0.79,Premium,E,VS2,62.1,59.0,3628,5.9,5.86,3.65,True,Medio,4592.405063291139
1.0,Ideal,I,SI2,58.8,55.0,3629,6.53,6.46,3.82,True,Medio,3629.0
0.9,Ideal,I,VS2,61.5,58.0,3629,6.19,6.23,3.82,True,Medio,4032.222222222222
0.72,Ideal,D,VS1,62.5,55.0,3629,5.71,5.74,3.58,True,Medio,5040.277777777778
0.9,Fair,G,SI1,64.5,57.0,3629,6.07,6.03,3.9,False,Medio,4032.222222222222
0.9,Ideal,H,SI1,62.8,57.0,3629,6.16,6.14,3.86,True,Medio,4032.222222222222
0.9,Premium,H,SI1,60.0,56.0,3629,6.33,6.27,3.78,True,Medio,4032.222222222222
0.9,Premium,H,SI1,61.9,58.0,3629,6.2,6.15,3.82,True,Medio,4032.222222222222
0.9,Premium,H,VS2,60.0,59.0,3629,6.23,6.16,3.72,True,Medio,4032.222222222222
1.08,Ideal,H,SI2,62.0,57.0,3629,6.65,6.55,4.06,True,Medio,3360.1851851851848
0.9,Premium,F,SI2,58.4,62.0,3629,6.37,6.34,3.71,True,Medio,4032.222222222222
0.9,Very Good,F,SI2,60.3,63.0,3630,6.28,6.21,3.77,False,Medio,4033.333333333333
0.8,Ideal,E,SI1,61.7,56.0,3630,5.99,6.04,3.71,True,Medio,4537.5
1.0,Fair,G,SI1,67.7,57.0,3631,6.0,6.15,4.11,False,Medio,3631.0
0.91,Very Good,E,SI2,62.5,59.0,3632,6.16,6.23,3.87,False,Medio,3991.208791208791
0.9,Very Good,D,SI2,59.8,53.0,3632,6.2,6.25,3.72,False,Medio,4035.5555555555557
0.91,Good,E,SI2,64.3,57.0,3632,6.0,6.04,3.87,False,Medio,3991.208791208791
0.74,Ideal,E,VVS2,61.9,57.0,3633,5.79,5.81,3.59,True,Medio,4909.459459459459
1.02,Good,F,SI2,59.6,64.0,3633,6.58,6.55,3.91,False,Medio,3561.7647058823527
1.06,Fair,G,SI2,65.3,62.0,3633,6.33,6.25,4.11,False,Medio,3427.3584905660377
1.02,Fair,F,SI2,66.6,58.0,3633,6.21,6.14,4.11,False,Medio,3561.7647058823527
1.02,Good,F,SI2,64.2,61.0,3633,6.3,6.21,4.02,False,Medio,3561.7647058823527
0.94,Very Good,D,SI2,62.0,57.0,3634,6.28,6.34,3.91,False,Medio,3865.9574468085107
1.0,Premium,D,SI2,62.0,60.0,3634,6.38,6.3,3.93,True,Medio,3634.0
1.0,Fair,D,SI2,65.2,56.0,3634,6.27,6.21,4.07,False,Medio,3634.0
1.0,Good,D,SI2,64.0,59.0,3634,6.29,6.24,4.01,False,Medio,3634.0
1.0,Fair,G,SI1,43.0,59.0,3634,6.32,6.27,3.97,False,Medio,3634.0
1.0,Premium,G,SI1,60.1,61.0,3634,6.44,6.4,3.86,True,Medio,3634.0
1.03,Premium,J,SI2,62.8,58.0,3634,6.48,6.41,4.05,True,Medio,3528.155339805825
1.0,Good,D,SI2,63.9,56.0,3634,6.32,6.27,4.02,False,Medio,3634.0
1.03,Ideal,F,I1,61.0,56.0,3634,6.58,6.52,3.99,True,Medio,3528.155339805825
1.03,Ideal,H,SI2,60.8,56.0,3634,6.56,6.47,3.96,True,Medio,3528.155339805825
0.91,Ideal,H,SI1,62.4,57.0,3635,6.18,6.23,3.87,True,Medio,3994.5054945054944
0.74,Ideal,G,VS1,61.2,56.0,3635,5.83,5.86,3.58,True,Medio,4912.1621621621625
0.74,Ideal,G,VS1,60.9,55.0,3635,5.84,5.91,3.58,True,Medio,4912.1621621621625
1.12,Ideal,J,VS2,62.9,57.0,3638,6.55,6.52,4.11,True,Medio,3248.2142857142853
0.91,Very Good,E,SI2,60.3,59.0,3638,6.28,6.25,3.78,False,Medio,3997.8021978021975
1.02,Good,J,SI2,62.2,61.0,3639,6.41,6.48,4.01,False,Medio,3567.6470588235293
0.91,Premium,E,SI2,61.1,59.0,3639,6.24,6.2,3.8,True,Medio,3998.901098901099
0.91,Premium,E,SI2,62.8,61.0,3639,6.09,6.07,3.82,True,Medio,3998.901098901099
1.14,Good,I,SI1,63.9,58.0,3639,6.64,6.6,4.23,False,Medio,3192.105263157895
1.0,Premium,F,SI2,59.8,58.0,3640,6.53,6.48,3.89,True,Medio,3640.0
0.76,Very Good,F,VVS2,62.9,58.0,3640,5.76,5.85,3.65,False,Medio,4789.473684210527
1.03,Very Good,J,SI2,63.1,57.0,3640,6.41,6.43,4.05,False,Medio,3533.9805825242715
1.0,Fair,H,SI2,65.1,58.0,3640,6.27,6.15,4.05,False,Medio,3640.0
1.0,Premium,H,SI2,59.1,62.0,3640,6.5,6.47,3.83,True,Medio,3640.0
1.0,Good,H,SI2,64.1,61.0,3640,6.36,6.27,4.05,False,Medio,3640.0
1.0,Premium,H,SI2,59.6,62.0,3640,6.52,6.41,3.85,True,Medio,3640.0
1.0,Good,I,SI1,57.6,61.0,3640,6.56,6.52,3.77,False,Medio,3640.0
1.0,Good,H,SI2,63.8,55.0,3640,6.28,6.24,4.0,False,Medio,3640.0
1.0,Very Good,I,SI1,63.3,54.0,3640,6.39,6.34,4.03,False,Medio,3640.0
1.0,Premium,J,VS1,59.7,62.0,3640,6.52,6.46,3.87,True,Medio,3640.0
1.0,Premium,G,SI2,63.0,56.0,3640,6.37,6.33,4.0,True,Medio,3640.0
1.0,Good,H,SI2,63.8,57.0,3640,6.32,6.28,4.02,False,Medio,3640.0
0.82,Very Good,E,VS2,62.6,60.0,3641,5.91,5.97,3.72,False,Medio,4440.243902439025
0.85,Ideal,F,VS2,62.4,57.0,3641,6.13,6.01,3.79,True,Medio,4283.529411764706
0.71,Premium,G,IF,62.0,58.0,3642,5.67,5.72,3.53,True,Medio,5129.577464788733
0.91,Ideal,F,SI2,62.7,57.0,3642,6.16,6.21,3.88,True,Medio,4002.197802197802
0.9,Very Good,J,VS1,62.4,57.0,3643,6.13,6.18,3.84,False,Medio,4047.777777777778
0.9,Very Good,D,SI2,58.8,59.0,3643,6.24,6.28,3.68,False,Medio,4047.777777777778
0.77,Very Good,D,VS1,62.4,58.0,3643,5.82,5.87,3.65,False,Medio,4731.168831168831
0.81,Very Good,E,SI1,61.9,60.0,3643,5.87,5.95,3.66,False,Medio,4497.530864197531
0.9,Very Good,H,SI1,63.0,58.0,3643,6.13,6.18,3.88,False,Medio,4047.777777777778
1.16,Premium,D,I1,61.8,59.0,3644,6.74,6.78,4.18,True,Medio,3141.379310344828
0.9,Good,I,VS1,63.3,59.0,3644,6.06,6.1,3.85,False,Medio,4048.8888888888887
0.9,Ideal,H,SI1,61.5,57.0,3644,6.17,6.23,3.81,True,Medio,4048.8888888888887
0.9,Very Good,I,VS1,62.2,58.0,3644,6.13,6.18,3.83,False,Medio,4048.8888888888887
0.93,Very Good,G,SI2,60.8,62.0,3644,6.29,6.34,3.84,False,Medio,3918.279569892473
0.7,Ideal,F,VVS2,61.7,58.0,3644,5.66,5.71,3.51,True,Medio,5205.714285714286
0.91,Premium,E,SI2,61.0,58.0,3644,6.31,6.27,3.84,True,Medio,4004.395604395604
0.91,Premium,F,SI1,62.7,59.0,3644,6.23,6.18,3.89,True,Medio,4004.395604395604
0.77,Premium,D,VS1,62.1,57.0,3644,5.85,5.8,3.62,True,Medio,4732.467532467533
1.16,Good,G,SI2,63.7,57.0,3644,6.59,6.56,4.19,False,Medio,3141.379310344828
1.0,Good,G,SI2,61.4,61.0,3646,6.32,6.35,3.89,False,Medio,3646.0
0.93,Premium,H,SI1,62.8,58.0,3646,6.24,6.21,3.91,True,Medio,3920.4301075268813
0.77,Ideal,F,VS1,61.2,56.0,3647,5.9,5.93,3.62,True,Medio,4736.363636363636
0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71,True,Medio,4560.0
0.76,Ideal,H,VVS1,61.9,54.0,3648,5.87,5.9,3.64,True,Medio,4800.0
0.76,Ideal,F,VS2,61.9,57.0,3648,5.83,5.86,3.62,True,Medio,4800.0
0.76,Ideal,G,VS1,61.3,54.0,3648,5.88,5.94,3.62,True,Medio,4800.0
0.92,Premium,G,SI2,58.4,58.0,3648,6.4,6.34,3.73,True,Medio,3965.2173913043475
0.76,Ideal,E,VS1,60.5,56.0,3649,5.94,5.99,3.61,True,Medio,4801.315789473684
0.92,Good,E,SI1,63.3,57.0,3649,6.17,6.22,3.92,False,Medio,3966.304347826087
0.9,Very Good,G,SI1,63.6,57.0,3649,6.09,6.12,3.88,False,Medio,4054.4444444444443
0.9,Very Good,G,SI1,63.5,59.0,3649,6.07,6.11,3.87,False,Medio,4054.4444444444443
0.73,Ideal,E,VS2,61.7,57.0,3649,5.77,5.8,3.57,True,Medio,4998.630136986301
0.92,Premium,G,SI2,62.9,58.0,3650,6.21,6.15,3.89,True,Medio,3967.391304347826
0.93,Very Good,J,VS1,63.0,53.0,3651,6.22,6.26,3.93,False,Medio,3925.806451612903
1.02,Premium,J,VS2,58.9,60.0,3651,6.57,6.53,3.86,True,Medio,3579.4117647058824
1.0,Good,G,SI2,57.8,64.0,3651,6.55,6.5,3.77,False,Medio,3651.0
0.82,Ideal,G,VS1,61.5,56.0,3652,6.01,6.05,3.71,True,Medio,4453.658536585366
0.95,Premium,H,SI2,58.8,60.0,3652,6.45,6.38,3.77,True,Medio,3844.2105263157896
0.8,Very Good,F,VS2,62.3,57.0,3653,5.91,5.94,3.69,False,Medio,4566.25
0.91,Very Good,F,SI2,61.6,59.0,3653,6.14,6.24,3.81,False,Medio,4014.285714285714
0.8,Ideal,F,VS2,62.0,55.0,3653,5.93,6.0,3.7,True,Medio,4566.25
0.76,Very Good,G,VVS2,62.1,56.0,3655,5.81,5.85,3.63,False,Medio,4809.210526315789
1.01,Good,J,VS2,62.8,58.0,3655,6.3,6.35,3.97,False,Medio,3618.8118811881186
0.77,Ideal,F,VS1,60.9,58.0,3655,5.91,5.95,3.61,True,Medio,4746.7532467532465
1.11,Premium,D,I1,61.9,58.0,3655,6.66,6.63,4.11,True,Medio,3292.7927927927926
1.07,Very Good,G,SI2,63.5,59.0,3655,6.52,6.46,4.12,False,Medio,3415.8878504672894
1.02,Premium,G,SI2,62.5,58.0,3656,6.42,6.34,3.99,True,Medio,3584.313725490196
0.9,Very Good,I,VS1,63.3,58.0,3656,6.07,6.1,3.85,False,Medio,4062.222222222222
0.7,Ideal,H,VS2,61.9,56.0,3656,5.68,5.73,3.53,True,Medio,5222.857142857143
0.7,Ideal,H,VS2,60.8,56.0,3656,5.74,5.77,3.5,True,Medio,5222.857142857143
0.9,Ideal,J,VS1,62.6,54.0,3656,6.15,6.18,3.86,True,Medio,4062.222222222222
1.02,Good,H,SI2,64.0,57.0,3656,6.41,6.37,4.09,False,Medio,3584.313725490196
1.02,Ideal,I,SI1,62.9,57.0,3656,6.41,6.37,4.02,True,Medio,3584.313725490196
1.01,Premium,J,SI2,61.9,59.0,3658,6.38,6.34,3.94,True,Medio,3621.7821782178216
0.96,Fair,H,VS2,68.8,56.0,3658,6.11,5.98,4.16,False,Medio,3810.416666666667
0.91,Very Good,F,SI2,62.4,58.0,3659,6.17,6.21,3.86,False,Medio,4020.879120879121
0.9,Good,F,SI1,62.8,64.0,3659,6.18,5.99,3.82,False,Medio,4065.5555555555557
0.73,Ideal,E,VS1,60.9,55.8,3660,5.8,5.85,3.55,True,Medio,5013.698630136986
0.9,Good,E,SI2,59.9,61.0,3660,6.16,6.2,3.7,False,Medio,4066.6666666666665
0.91,Good,D,SI2,63.3,62.0,3660,6.01,6.09,3.83,False,Medio,4021.978021978022
1.09,Premium,I,SI1,62.7,60.0,3662,6.57,6.51,4.1,True,Medio,3359.6330275229357
0.9,Premium,E,SI2,62.2,60.0,3662,6.15,6.19,3.84,True,Medio,4068.8888888888887
0.9,Very Good,E,SI2,62.4,57.0,3662,6.13,6.17,3.84,False,Medio,4068.8888888888887
0.9,Premium,E,SI2,61.3,60.0,3662,6.17,6.23,3.8,True,Medio,4068.8888888888887
0.9,Premium,E,SI2,60.8,60.0,3662,6.21,6.25,3.79,True,Medio,4068.8888888888887
0.9,Very Good,E,SI2,62.6,60.0,3662,6.09,6.18,3.84,False,Medio,4068.8888888888887
0.9,Ideal,E,SI2,62.0,55.0,3662,6.15,6.23,3.84,True,Medio,4068.8888888888887
0.7,Ideal,F,VS1,61.2,56.0,3662,5.73,5.76,3.52,True,Medio,5231.428571428572
1.22,Very Good,H,I1,61.6,56.0,3663,6.8,6.87,4.21,False,Medio,3002.4590163934427
0.89,Good,F,SI1,64.3,55.0,3663,6.12,6.01,3.9,False,Medio,4115.730337078651
0.9,Premium,I,VS2,60.1,59.0,3663,6.37,6.25,3.79,True,Medio,4070.0
0.91,Very Good,I,VS2,61.0,57.0,3664,6.2,6.26,3.8,False,Medio,4026.3736263736264
0.87,Very Good,D,SI1,60.2,60.0,3664,6.12,6.17,3.7,False,Medio,4211.494252873563
0.91,Ideal,G,SI2,62.3,56.0,3664,6.18,6.22,3.86,True,Medio,4026.3736263736264
1.01,Premium,I,SI2,59.6,62.0,3665,6.56,6.5,3.89,True,Medio,3628.7128712871286
0.91,Ideal,E,SI1,60.7,56.0,3665,6.26,6.22,3.79,True,Medio,4027.4725274725274
1.01,Premium,H,SI2,59.6,60.0,3665,6.5,6.55,3.89,True,Medio,3628.7128712871286
1.19,Ideal,H,I1,61.5,57.0,3665,6.79,6.83,4.19,True,Medio,3079.831932773109
1.27,Very Good,I,I1,60.2,62.0,3665,7.0,7.05,4.23,False,Medio,2885.8267716535433
0.91,Premium,E,SI1,62.2,58.0,3665,6.29,6.18,3.86,True,Medio,4027.4725274725274
1.01,Good,J,SI1,63.6,54.0,3665,6.44,6.36,4.07,False,Medio,3628.7128712871286
0.91,Very Good,J,VS1,62.1,55.0,3666,6.16,6.24,3.85,False,Medio,4028.5714285714284
0.9,Good,I,VS1,63.5,61.0,3666,5.96,6.01,3.8,False,Medio,4073.333333333333
0.73,Ideal,G,VVS1,61.3,56.0,3667,5.79,5.82,3.56,True,Medio,5023.287671232877
0.7,Very Good,D,VS2,60.6,60.0,3668,5.71,5.75,3.47,False,Medio,5240.0
0.78,Very Good,D,VS2,62.2,56.0,3668,5.85,5.91,3.66,False,Medio,4702.5641025641025
1.03,Premium,F,SI2,62.2,60.0,3668,6.47,6.45,4.02,True,Medio,3561.1650485436894
0.74,Ideal,D,VS2,61.4,58.0,3668,5.8,5.83,3.57,True,Medio,4956.756756756757
1.03,Very Good,F,SI2,63.1,57.0,3668,6.42,6.38,4.04,False,Medio,3561.1650485436894
0.73,Very Good,F,VVS2,63.8,59.0,3669,5.69,5.72,3.64,False,Medio,5026.0273972602745
0.95,Premium,J,VVS2,62.6,59.0,3669,6.23,6.26,3.91,True,Medio,3862.105263157895
0.85,Very Good,D,SI1,60.3,57.0,3669,6.09,6.22,3.71,False,Medio,4316.470588235295
0.73,Ideal,G,VVS1,61.9,57.0,3669,5.76,5.8,3.58,True,Medio,5026.0273972602745
0.9,Good,G,SI1,57.7,65.0,3669,6.25,6.29,3.62,False,Medio,4076.6666666666665
0.9,Good,G,SI1,65.2,58.0,3669,6.0,6.06,3.93,False,Medio,4076.6666666666665
1.04,Premium,J,SI2,62.0,59.0,3669,6.49,6.47,4.02,True,Medio,3527.8846153846152
0.91,Premium,H,SI1,62.8,58.0,3669,6.16,6.13,3.86,True,Medio,4031.8681318681315
0.9,Good,G,SI1,63.7,60.0,3669,6.11,6.07,3.88,False,Medio,4076.6666666666665
0.91,Premium,I,VS1,61.9,57.0,3669,6.24,6.19,3.85,True,Medio,4031.8681318681315
0.9,Very Good,G,SI1,63.1,59.0,3669,6.15,6.11,3.87,False,Medio,4076.6666666666665
0.9,Good,I,IF,63.7,64.0,3669,6.07,6.02,3.85,False,Medio,4076.6666666666665
0.9,Good,G,SI1,63.7,58.0,3669,6.12,6.09,3.89,False,Medio,4076.6666666666665
0.9,Good,H,VS1,64.0,59.0,3669,6.05,6.01,3.86,False,Medio,4076.6666666666665
0.9,Good,G,SI1,63.8,59.0,3669,6.08,6.05,3.87,False,Medio,4076.6666666666665
0.9,Very Good,G,SI1,63.2,59.0,3669,6.1,6.05,3.84,False,Medio,4076.6666666666665
0.9,Premium,G,SI1,62.0,61.0,3669,6.13,6.07,3.78,True,Medio,4076.6666666666665
1.12,Premium,I,SI2,61.2,58.0,3669,6.72,6.68,4.1,True,Medio,3275.892857142857
1.0,Fair,F,SI1,66.7,57.0,3669,6.07,5.99,4.02,False,Medio,3669.0
1.04,Ideal,H,SI2,62.0,57.0,3669,6.53,6.43,4.02,True,Medio,3527.8846153846152
0.91,Ideal,I,VS1,62.5,55.0,3669,6.25,6.2,3.89,True,Medio,4031.8681318681315
0.9,Premium,G,SI1,61.9,59.0,3669,6.18,6.13,3.81,True,Medio,4076.6666666666665
1.12,Fair,I,SI2,64.6,57.0,3669,6.5,6.47,4.19,False,Medio,3275.892857142857
1.17,Premium,H,I1,62.8,58.0,3669,6.71,6.69,4.21,True,Medio,3135.897435897436
1.13,Ideal,H,I1,61.1,56.0,3669,6.77,6.71,4.12,True,Medio,3246.902654867257
0.91,Premium,H,SI1,62.2,60.0,3669,6.22,6.16,3.85,True,Medio,4031.8681318681315
1.04,Ideal,I,SI1,59.7,56.0,3669,6.6,6.54,3.92,True,Medio,3527.8846153846152
0.9,Premium,G,SI1,62.6,62.0,3669,6.08,6.06,3.8,True,Medio,4076.6666666666665
0.71,Very Good,D,VVS2,62.7,59.0,3670,5.64,5.69,3.55,False,Medio,5169.014084507043
0.85,Ideal,G,SI1,62.2,56.0,3670,6.04,6.09,3.77,True,Medio,4317.64705882353
1.13,Ideal,H,SI2,60.6,57.0,3670,6.79,6.77,4.11,True,Medio,3247.7876106194694
1.01,Premium,H,SI2,63.0,59.0,3671,6.33,6.27,3.97,True,Medio,3634.6534653465346
1.01,Fair,G,SI1,66.1,56.0,3671,6.26,6.2,4.12,False,Medio,3634.6534653465346
1.01,Good,D,SI2,63.8,61.0,3671,6.13,6.06,3.89,False,Medio,3634.6534653465346
0.76,Ideal,G,VVS1,62.0,54.7,3671,5.83,5.87,3.62,True,Medio,4830.263157894737
0.78,Ideal,E,SI1,60.4,57.0,3671,5.95,6.0,3.61,True,Medio,4706.410256410256
1.01,Very Good,D,SI2,59.1,63.0,3671,6.59,6.54,3.88,False,Medio,3634.6534653465346
0.95,Premium,G,SI2,60.5,62.0,3671,6.44,6.36,3.88,True,Medio,3864.2105263157896
0.78,Very Good,D,VS2,59.8,60.0,3672,5.97,6.03,3.59,False,Medio,4707.692307692308
1.0,Good,F,SI2,60.6,62.0,3672,6.36,6.45,3.88,False,Medio,3672.0
1.06,Premium,J,SI2,61.3,60.0,3672,6.52,6.59,4.02,True,Medio,3464.1509433962265
1.05,Premium,F,SI2,61.1,59.0,3672,6.54,6.61,4.02,True,Medio,3497.142857142857
0.7,Ideal,G,IF,60.2,57.0,3672,5.78,5.84,3.5,True,Medio,5245.714285714286
0.8,Very Good,G,VS1,62.7,56.0,3673,5.9,5.94,3.71,False,Medio,4591.25
0.73,Ideal,D,VS2,62.3,54.0,3673,5.77,5.8,3.6,True,Medio,5031.506849315068
0.82,Premium,G,SI1,61.8,58.0,3674,6.02,5.98,3.71,True,Medio,4480.487804878049
0.71,Ideal,D,SI1,61.4,56.0,3674,5.7,5.74,3.51,True,Medio,5174.647887323944
0.71,Ideal,D,SI1,60.6,56.0,3674,5.78,5.81,3.51,True,Medio,5174.647887323944
0.96,Fair,E,SI2,57.7,67.0,3674,6.49,6.46,3.73,False,Medio,3827.0833333333335
1.01,Premium,E,SI2,62.3,55.0,3674,6.35,6.29,3.94,True,Medio,3637.6237623762377
1.0,Ideal,F,SI2,61.1,54.0,3674,6.51,6.47,3.97,True,Medio,3674.0
0.81,Premium,E,VS2,61.5,58.0,3674,5.99,5.94,3.97,True,Medio,4535.802469135802
1.01,Very Good,E,SI2,63.3,58.0,3674,6.4,6.31,4.02,False,Medio,3637.6237623762377
0.92,Premium,H,SI1,62.2,58.0,3675,6.19,6.23,3.86,True,Medio,3994.565217391304
1.03,Premium,D,SI2,62.3,58.0,3675,6.5,6.4,4.03,True,Medio,3567.9611650485435
0.79,Ideal,H,VVS1,62.0,56.0,3675,5.92,5.96,3.68,True,Medio,4651.898734177215
0.63,Premium,E,VS1,60.5,57.0,3675,5.58,5.53,3.36,True,Medio,5833.333333333333
1.0,Good,G,SI2,63.4,60.0,3676,6.22,6.34,3.98,False,Medio,3676.0
1.01,Premium,H,SI2,60.3,59.0,3676,6.51,6.45,3.91,True,Medio,3639.6039603960394
1.01,Fair,H,VS1,67.1,59.0,3676,6.16,6.09,4.11,False,Medio,3639.6039603960394
1.01,Premium,H,SI2,61.6,60.0,3676,6.22,6.18,3.82,True,Medio,3639.6039603960394
1.01,Very Good,I,SI1,63.2,55.0,3676,6.4,6.32,4.02,False,Medio,3639.6039603960394
1.01,Good,I,SI1,64.1,59.0,3676,6.24,6.21,3.99,False,Medio,3639.6039603960394
0.9,Ideal,J,IF,62.2,57.0,3677,6.17,6.14,3.83,True,Medio,4085.5555555555557
0.9,Ideal,I,VS1,61.6,56.0,3677,6.22,6.16,3.81,True,Medio,4085.5555555555557
1.13,Ideal,H,I1,62.2,55.0,3678,6.65,6.69,4.15,True,Medio,3254.8672566371683
1.1,Ideal,F,I1,61.8,56.0,3678,6.61,6.65,4.1,True,Medio,3343.6363636363635
1.1,Very Good,F,I1,59.8,61.0,3678,6.65,6.7,3.99,False,Medio,3343.6363636363635
0.9,Very Good,F,SI1,63.6,58.0,3679,6.1,6.13,3.89,False,Medio,4087.777777777778
0.75,Ideal,D,VS2,61.1,55.0,3679,5.87,5.89,3.6,True,Medio,4905.333333333333
0.92,Very Good,E,SI2,63.2,54.0,3679,6.29,6.25,3.96,False,Medio,3998.9130434782605
1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98,False,Medio,3679.0
0.9,Ideal,F,SI2,62.3,57.0,3679,6.19,6.17,3.85,True,Medio,4087.777777777778
0.9,Premium,H,SI1,62.0,62.0,3679,6.13,6.03,3.77,True,Medio,4087.777777777778
0.31,Very Good,I,VVS1,62.2,60.0,571,4.3,4.32,2.68,False,Económico,1841.9354838709678
0.31,Premium,D,SI1,60.9,60.0,571,4.38,4.39,2.67,True,Económico,1841.9354838709678
0.31,Good,D,SI1,63.5,55.0,571,4.27,4.3,2.72,False,Económico,1841.9354838709678
0.31,Ideal,D,SI1,62.4,53.0,571,4.33,4.35,2.71,True,Económico,1841.9354838709678
0.28,Very Good,E,VVS2,64.0,54.0,572,4.11,4.17,2.65,False,Económico,2042.8571428571427
0.28,Very Good,E,VVS2,60.1,62.0,572,4.25,4.27,2.56,False,Económico,2042.8571428571427
0.28,Very Good,F,VVS1,58.9,62.0,572,4.27,4.32,2.53,False,Económico,2042.8571428571427
0.38,Ideal,J,VS2,62.3,55.0,572,4.63,4.65,2.89,True,Económico,1505.2631578947369
0.24,Ideal,F,VS1,62.7,54.0,572,3.99,4.02,2.51,True,Económico,2383.3333333333335
0.24,Ideal,F,VS1,61.8,54.0,572,3.99,4.03,2.48,True,Económico,2383.3333333333335
0.37,Ideal,F,SI2,60.9,56.0,572,4.65,4.68,2.84,True,Económico,1545.945945945946
0.3,Ideal,H,SI1,61.6,57.0,572,4.28,4.32,2.65,True,Económico,1906.6666666666667
0.33,Premium,I,SI1,62.8,58.0,572,4.43,4.39,2.77,True,Económico,1733.3333333333333
0.33,Ideal,I,SI1,62.7,56.0,572,4.44,4.4,2.77,True,Económico,1733.3333333333333
0.33,Ideal,I,SI1,61.5,57.0,572,4.49,4.46,2.75,True,Económico,1733.3333333333333
0.33,Premium,I,SI1,61.4,58.0,572,4.5,4.46,2.75,True,Económico,1733.3333333333333
0.33,Premium,I,SI1,61.3,59.0,572,4.51,4.46,2.75,True,Económico,1733.3333333333333
0.33,Very Good,I,SI1,63.2,58.0,572,4.38,4.36,2.76,False,Económico,1733.3333333333333
0.33,Good,I,SI1,63.6,57.0,572,4.42,4.39,2.8,False,Económico,1733.3333333333333
0.42,Very Good,G,SI2,59.5,61.0,573,4.85,4.9,2.9,False,Económico,1364.2857142857144
0.34,Ideal,G,VS2,61.6,56.0,573,4.48,4.51,2.77,True,Económico,1685.2941176470588
0.3,Ideal,F,VS2,61.6,56.0,573,4.3,4.33,2.66,True,Económico,1910.0
0.3,Ideal,F,VS2,61.9,56.0,573,4.32,4.34,2.68,True,Económico,1910.0
0.3,Ideal,F,VS2,62.2,55.0,573,4.3,4.32,2.68,True,Económico,1910.0
0.3,Ideal,F,VS2,62.5,54.0,573,4.29,4.32,2.69,True,Económico,1910.0
0.3,Ideal,F,VS2,62.3,55.0,573,4.3,4.34,2.69,True,Económico,1910.0
0.3,Ideal,F,VS2,61.1,56.0,573,4.36,4.38,2.67,True,Económico,1910.0
0.3,Ideal,F,VS2,60.9,56.0,573,4.35,4.39,2.66,True,Económico,1910.0
